lga_code20,lga_name20,lga_type20,area_sqkm,latitude,longitude
<<<<<<< HEAD
21110,Boroondara,C,60.1774,-37.81928627,145.0630891
21180,Brimbank,C,123.3991,-37.74755294,144.8033107
21270,Buloke,S,8000.4027,-35.91238555,143.0049303
21370,Campaspe,S,4518.8582,-36.3451923,144.716414
21450,Cardinia,S,1282.5678,-38.08301379,145.5726853
21610,Casey,C,409.4289,-38.10435017,145.3090109
21670,Central Goldfields,S,1532.7843,-37.00716246,143.7138406
21750,Colac-Otway,S,3437.4701,-38.45196091,143.5951818
21830,Corangamite,S,4407.4921,-38.20432331,143.1986512
21890,Darebin,C,53.4711,-37.73345861,145.0143331
22110,East Gippsland,S,20940.2326,-37.37801723,148.2916666
22170,Frankston,C,129.598,-38.1346082,145.1737988
22250,Gannawarra,S,3735.3353,-35.75158154,143.8042323
22310,Glen Eira,C,38.6906,-37.90120582,145.0426025
22410,Glenelg,S,6218.5734,-37.87049854,141.3857282
22490,Golden Plains,S,2703.3898,-37.88206522,143.8425111
22620,Greater Bendigo,C,2999.9721,-36.73444118,144.4226459
22670,Greater Dandenong,C,129.5469,-38.00558933,145.1900091
22750,Greater Geelong,C,1247.9876,-38.06895866,144.4171624
22830,Greater Shepparton,C,2421.9093,-36.39699454,145.3861991
22910,Hepburn,S,1472.9844,-37.31693705,144.0575605
22980,Hindmarsh,S,7524.1824,-36.05151799,141.7525541
23110,Hobsons Bay,C,64.2404,-37.85472062,144.8297577
23190,Horsham,RC,4266.769,-36.82574524,142.0904501
23270,Hume,C,503.8505,-37.58918224,144.8245343
23350,Indigo,S,2040.069,-36.22554892,146.7230938
23430,Kingston (Vic.),C,91.3677,-37.98858353,145.1050723
23670,Knox,C,113.9115,-37.88898225,145.2586697
23810,Latrobe (Vic.),C,1425.6128,-38.27456455,146.4381351
23940,Loddon,S,6696.4447,-36.36390536,143.8671423
24130,Macedon Ranges,S,1748.2837,-37.33566772,144.6166136
24210,Manningham,C,113.3478,-37.76159035,145.1885608
24250,Mansfield,S,3843.8535,-37.20042706,146.2068357
24330,Maribyrnong,C,31.2254,-37.79526741,144.8777723
24410,Maroondah,C,61.4097,-37.80487232,145.2652614
24600,Melbourne,C,37.3513,-37.81049809,144.9439049
24650,Melton,C,527.5374,-37.69300563,144.6259818
24780,Mildura,RC,22082.4836,-34.86921286,141.6828621
24850,Mitchell,S,2862.0833,-37.13753045,145.0016052
24900,Moira,S,4046.3738,-36.06189191,145.5503582
24970,Monash,C,81.4829,-37.89714147,145.1440335
25060,Moonee Valley,C,43.1386,-37.74949992,144.8957617
25150,Moorabool,S,2110.5504,-37.63277513,144.2156504
25250,Moreland,C,50.9519,-37.72991856,144.948888
25340,Mornington Peninsula,S,724.1679,-38.34168734,145.0353317
25430,Mount Alexander,S,1529.6184,-37.05079024,144.1929367
25490,Moyne,S,5481.6861,-38.12245428,142.4900357
25620,Murrindindi,S,3879.7505,-37.31098104,145.6301053
25710,Nillumbik,S,432.3373,-37.62291463,145.2368043
25810,Northern Grampians,S,5729.8764,-36.844629,142.919643
25900,Port Phillip,C,20.7092,-37.85181579,144.9657972
25990,Pyrenees,S,3434.5689,-37.31645794,143.3750411
26080,Queenscliffe,B,8.6166,-38.2642803,144.6477154
26170,South Gippsland,S,3296.3307,-38.6213771,146.0759919
26260,Southern Grampians,S,6654.0186,-37.53653334,142.033094
26350,Stonnington,C,25.6514,-37.85795483,145.0336569
26430,Strathbogie,S,3303.2568,-36.76033145,145.4349175
26490,Surf Coast,S,1552.944,-38.31230179,144.0531221
26610,Swan Hill,RC,6115.3087,-35.12020531,143.1254554
26670,Towong,S,6674.9467,-36.35445047,147.5988579
26700,Wangaratta,RC,3645.1095,-36.58826892,146.4283855
26730,Warrnambool,C,120.9488,-38.37144385,142.5118139
26810,Wellington,S,10817.3346,-37.89435055,146.9193477
26890,West Wimmera,S,9108.2042,-36.67556543,141.2793633
26980,Whitehorse,C,64.28,-37.83024851,145.1550599
27070,Whittlesea,C,489.6939,-37.54721249,145.0776927
27170,Wodonga,C,432.6894,-36.15055606,146.8826174
27260,Wyndham,C,542.0949,-37.886647,144.6182524
27350,Yarra,C,19.5425,-37.80228082,144.9985486
27450,Yarra Ranges,S,2468.205,-37.71427637,145.6970366
27630,Yarriambiack,S,7325.797,-35.99006416,142.4190092
29399,Unincorporated Vic,,283.0142,-37.89911012,145.8927899
29499,No usual address (Vic.),,0,0,0
29799,Migratory - Offshore - Shipping (Vic.),,0,0,0
30250,Aurukun,S,7423.989,-13.60937695,141.8284466
30300,Balonne,S,31103.7071,-28.31589449,148.1161709
30370,Banana,S,28550.1626,-24.93516691,149.9387035
30410,Barcaldine,R,53382.6558,-23.11368703,145.6934209
30450,Barcoo,S,61830.0907,-25.13106967,142.2674619
30760,Blackall-Tambo,R,30537.2479,-24.78563034,145.7912559
30900,Boulia,S,60905.7352,-22.48046453,139.2464543
31000,Brisbane,C,1342.7188,-27.43784099,153.0390033
31750,Bulloo,S,73723.751,-28.02130615,142.5948361
31820,Bundaberg,R,6431.003,-24.96781843,152.0357622
31900,Burdekin,S,5043.9317,-19.82358277,147.2431054
31950,Burke,S,39684.0526,-18.03133152,138.9476841
32080,Cairns,R,1689.3129,-17.16016024,145.8190011
32250,Carpentaria,S,64121.0124,-17.44439712,141.3647459
32260,Cassowary Coast,R,4687.824,-17.95955139,145.9259724
32270,Central Highlands (Qld),R,59834.8359,-24.03145696,148.415812
32310,Charters Towers,R,68382.1643,-20.14886267,145.7882029
32330,Cherbourg,S,31.6002,-26.28880854,151.935993
32450,Cloncurry,S,47971.2596,-20.81770446,140.2647626
32500,Cook,S,105718.7588,-14.23595553,143.2596661
32600,Croydon,S,29497.9024,-18.55409959,142.2168011
32750,Diamantina,S,94730.4545,-24.63027467,139.7318197
32770,Doomadgee,S,1827.6518,-17.59652869,138.7809532
32810,Douglas,S,2427.8626,-16.22204082,145.2866968
33100,Etheridge,S,39199.2956,-18.50462098,143.6604051
33200,Flinders (Qld),S,41199.9374,-20.97388024,144.3217274
33220,Fraser Coast,R,7104.5987,-25.5279018,152.6767315
33360,Gladstone,R,10484.2862,-24.1763232,151.3070308
33430,Gold Coast,C,1333.7031,-27.98055785,153.318477
33610,Goondiwindi,R,19258.1008,-28.37358977,150.3398927
33620,Gympie,R,6883.9713,-26.14703772,152.4636346
33800,Hinchinbrook,S,2807.1889,-18.66189497,146.0476088
33830,Hope Vale,S,1111.7099,-15.16775039,145.1915664
33960,Ipswich,C,1093.857,-27.66561548,152.6674626
